en;2 * 2 = ?;4;TRUE;3;FALSE;-4;FALSE
ru_RU;2 * 2 = ?;4;TRUE;3;FALSE;-4;FALSE
en;Who discovered America?;Columbus;TRUE;vikings;FALSE;Krusenstern;FALSE
ru_RU;Кто открыл Америку?;Колумб;TRUE;викинги;FALSE;Крузенштерн;FALSE
en;The number of days in a year?;365;TRUE;265;FALSE;364;FALSE
ru_RU;Сколько дней в году?;365;TRUE;265;FALSE;364;FALSE
en;The capital of Russia?;Moscow;TRUE;;;;
ru_RU;Столица России?;Москва;TRUE;;;;
en;What rivers flow in Russia?;The Yenisei;TRUE;The Obi;TRUE;The Nile;FALSE
ru_RU;Какие реки протекают в России?;Енисей;TRUE;Обь;TRUE;Нил;FALSE
